tweet_id,tweet_text,comentario,comentario_autor,fecha_publicacion,timestamp_extraccion,replies,reposts,likes,views
id_¡Tu_lomito_ya_es_bienvenido!_L,'¡Tu lomito ya es bienvenido! Los Centros Vacacionales #IMSS ahora son Dog Friendly. Porque sabemos que es parte de tu familia. Visítanos en Oaxtepec; La Trinidad y Atlixco-Metepec.',"""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""","""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""",2025-08-06T22:52:36.000Z,2025-08-07T13:50:39.180121,0,3,10,1525
"id_Muy_pronto,_tu_#BuzónIMSS_será",'Muy pronto; tu #BuzónIMSS será el único canal para obtener tu Opinión de Cumplimiento en materia de Seguridad Social. Ingresa a: http:// imss.gob.mx/buzonimss ; inicia sesión con tu e.firma y consulta o descarga tu opinión fácilmente.',"""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""","""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""",2025-08-06T22:42:54.000Z,2025-08-07T13:50:45.384464,0,4,4,1171
id_¿Ya_les_hablaste?_Platicar_con,'¿Ya les hablaste? Platicar con tu hijo o hija sobre #Sexualidad y #SaludReproductiva ayuda a en la #PrevenciónEmbarazoAdolescente . #PlanificaciónFamiliar #EducaciónSexual',"""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""","""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""",2025-08-06T22:00:01.000Z,2025-08-07T13:50:51.320900,0,1,3,967
id_Chequeo_PREVENIMSS_Resultados_,'Chequeo PREVENIMSS Resultados Saludables Si no tienes sospecha de enfermedades ¡Felicidades! Nos vemos en un año en tu próximo chequeo. #PrevenIMSS #IMSS',"""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""","""**VERIFIQUÉ Y NO HAY NINGÚN COMENTARIO**""",2025-08-06T21:00:00.000Z,2025-08-07T13:50:57.381124,0,2,6,1035
id_Registro_histórico:_IMSS_super,'Registro histórico: IMSS supera 23 millones de empleos formales con registro de 1.2 millones de trabajadores de plataformas digitales. http:// goo.su/Mu384c',Y ya que entre el dinero de esos trabajadores mejorará el servicio?,Eulalio @EulalioSoy · 1h,2025-08-07T17:15:30.000Z,2025-08-07T13:51:05.034092,4,3,5,1265
id_Registro_histórico:_IMSS_super,'Registro histórico: IMSS supera 23 millones de empleos formales con registro de 1.2 millones de trabajadores de plataformas digitales. http:// goo.su/Mu384c',y que? con esto ya tenemos medicamentos y atencion ? pinches amarillistas lame botas,jorge galvan vazquez @jorgegalvanvazq · 26m,2025-08-07T18:24:04.000Z,2025-08-07T13:51:05.034092,4,3,5,1265
id_¡La_salud_comienza_en_tu_boca!,'¡La salud comienza en tu boca! Cuida tu higiene oral todos los días: Cepíllate 3 veces al día (¡2 min!) Usa hilo dental por la noche Aplica flúor cada 6 meses Visita el Servicio de Estomatología Desde los 3 años Embarazadas: flúor cada 2 meses',Buenas tardes; tengo desde el 9 de julio tratando de surtir el medicamento para mi padre; Tamsolusina. En Tala; Jalisco; gracias. HGZMF 26 TALA.,Lalo @ebecerrac77 · 22h,2025-08-06T20:31:48.000Z,2025-08-07T13:51:12.679156,2,3,5,1095
"id_A_veces,_un_abrazo_tiene_más_f",'A veces; un abrazo tiene más fuerza que mil palabras. Mostrar lo que sentimos no nos expone; nos conecta. #DaleColorATuVida',Fui al @Tu_IMSS clínica 6; x recetas; mi hematóloga de vacaciones y fui a subdirección de medicina interna donde las dan cuando tu dr no puede; el hombre q atendió me dijo x hoy se las doy pero tiene q darselas su dra lo se prefiero y con ella; abento y dijo no te las doy ve ella,Juan Linares @rolgz · 22h,2025-08-06T20:01:43.000Z,2025-08-07T13:51:18.731187,2,3,4,1398
"id_A_veces,_un_abrazo_tiene_más_f",'A veces; un abrazo tiene más fuerza que mil palabras. Mostrar lo que sentimos no nos expone; nos conecta. #DaleColorATuVida',Regresé sin recetas; a esperar q mi doctora regrese de vacaciones; muy merecidas pues trabaja mucho y entregada a sus pacientes ella; quiza este mes me quede sin medicinas x un mal empleado del @Tu_IMSS q es prepotente y ofensivo con pacientes y familiares de pacientes,Juan Linares @rolgz · 22h,2025-08-06T20:06:54.000Z,2025-08-07T13:51:18.731187,2,3,4,1398
